"FULL_KATO_NAME";"KATO_2_NAME";"KATO_2";"KATO_4_NAME";"KATO_4";"FAMILY_CAT_NEW";"filtr1";"filtr2";"filtr3";"filtr4";"filtr5";"filtr6";"filtr7";"filtr8";"filtr9";"filtr10";"ID_SK_FAMILY_QUALITY22";"filtr11";"filtr12";"filtr13";"filtr14";"filtr15";"filtr16";"filtr17";"filtr18";"filtr19";"filtr20";"filtr21";"filtr22";"filtr23";"filtr24";"filtr25";"filtr26";"filtr27";"filtr65";"filtr28";"filtr29";"filtr30";"filtr31";"filtr32";"filtr33";"filtr34";"count_iin";"KATO_42";"Rating"
г.Шардара;Туркестанская область;"61";Шардаринский район;"6164";E - Экстренный уровень семьи (требуется срочная помощь);Семья без доходов (СДД);Семьи с трудоспособными и не работающими членами семьи;Семьи без жилья;В семье нет автотранспорта;В семье нет коммерческого траспорта;В семье отсутствует сельхотехника;Семьи без земельного участка;В семье нет коммерческой недвижимости;В семье нет личного подсобного хозяйства;В семье нет учредителей ТОО и ИП;"21472010";В семье нет  несовершеннолетних детей и учащейся молодежи до 23 лет;В семье нет лиц с инвалидностью (1 и 2 группы);В семье нет лиц с инвалидностью с детства или ребенка-инвалида;В семье нет лиц с инвалидностью (3 группы);В семье нет хронических заболеваний;В семье нет членов состоящие на Д-учете;В семье нет детей до 18 лет;Семьи с прикрепленными членами семьи к медицинскому учреждению;Семьи, в которых у взрослых членов семьи нет среднего образования;В семье нет профессионального и среднеспециального образование;Семьи, в которых у взрослых членов семьи нет высшего образования;Семьи в которых нет участников ОСМС;Семья есть кредиты;Один член семьи имеет просроченную задолженность по кредитам;В семье нет детей от 2 до 6 лет включительно;В семье нет детей от 6 до 15 лет включительно;В семьи нет образования;Прочие городские поселения;Не являются получателями АСП;Не являются плательщиками ЕСП;Семьи, в которых нет плательщиков ОПВ;Семья живет в городе;В Семье нет социально значимых заболевании;Нет обращения;В семье нет детей от 8 до 14 лет включительно;1;"6164";"12"
с.о.Бартогай;Алматинская область;"19";Енбекшиказахский район;"1940";В - удовлетворительный уровень семьи (ниже среднего);от 4 и более прожиточных минимумов (СДД);В семье только 1 член семьи работает;В семье только одно жилье, более 18 кв. метров на 1 члена семьи;В семье нет автотранспорта;В семье нет коммерческого траспорта;В семье отсутствует сельхотехника;В семье есть земельный участок под ИЖС;В семье нет коммерческой недвижимости;В семье нет личного подсобного хозяйства;В семье нет учредителей ТОО и ИП;"21472012";В семье есть от 4 - х и более несовершеннолетних детей и учащейся молодежи до 23 лет;В семье нет лиц с инвалидностью (1 и 2 группы);В семье нет лиц с инвалидностью с детства или ребенка-инвалида;В семье нет лиц с инвалидностью (3 группы);В семье нет хронических заболеваний;В семье есть члены состоящие на Д-учете;В семье есть дети до 18 лет прикрепленные к школе садику;Семьи с прикрепленными членами семьи к медицинскому учреждению;Семьи, в которых у взрослых членов семьи нет среднего образования;В семье нет профессионального и среднеспециального образование;Семьи, в которых у взрослых членов семьи нет высшего образования;Семьи в которых есть участники ОСМС;Семья есть кредиты;Семья не имеет задолженности по кредитам;В семье есть дети от 2 до 6 лет включительно прикрепленые к садику;В семье есть дети от 6 до 15 лет включительно прикрепленые к школе;В семьи нет образования;Административные центры сельских районов;Не являются получателями АСП;Не являются плательщиками ЕСП;Семьи, в которых есть один плательщик ОПВ ;Семья живет в городе;В Семье нет социально значимых заболевании;Нет обращения;В семье есть дети от 8 до 14 лет включительно прикрепленые к школе;7;"1940";"6"
г.Петропавловск;Северо-Казахстанская область;"59";Петропавловск Г.А.;"5910";С - Неблагополучный уровень семьи (необходим мониторинг) ;Доход до 70% ПМ (СДД);В семье только 1 член семьи работает;В семье есть 2 единицы жилья;В семье 1 (один) автотранспорт;В семье нет коммерческого траспорта;В семье отсутствует сельхотехника;Семьи без земельного участка;В семье нет коммерческой недвижимости;В семье нет личного подсобного хозяйства;В семье нет учредителей ТОО и ИП;"21472015";В семье есть один несовершеннолетний ребенок или учащейся молодеж до 23 лет;В семье нет лиц с инвалидностью (1 и 2 группы);В семье нет лиц с инвалидностью с детства или ребенка-инвалида;В семье нет лиц с инвалидностью (3 группы);В семье нет хронических заболеваний;В семье нет членов состоящие на Д-учете;В семье есть дети до 18 лет прикрепленные к школе садику;Семьи с прикрепленными членами семьи к медицинскому учреждению;Семьи, в которых у взрослых членов семьи нет среднего образования;В семье нет профессионального и среднеспециального образование;Семьи, в которых у взрослых членов семьи нет высшего образования;Семьи в которых есть участники ОСМС;Семья есть кредиты;Семья не имеет задолженности по кредитам;В семье нет детей от 2 до 6 лет включительно;В семье нет детей от 6 до 15 лет включительно;В семьи нет образования;Административные центры областей;Не являются получателями АСП;Не являются плательщиками ЕСП;Семьи, в которых есть один плательщик ОПВ ;Семья живет в городе;В Семье нет социально значимых заболевании;Есть обращение;В семье есть дети от 8 до 14 лет включительно не прикрепленые к школе;2;"5910";"8"
г.Усть-Каменогорск;Восточно-Казахстанская область;"63";Усть-Каменогорск Г.А.;"6310";А - благополучный уровень семьи (средний и выше);от 4 и более прожиточных минимумов (СДД);В семье двое и более членов семьи работают;В семье есть от 3 до 5 единиц жилья;В семье 1 (один) автотранспорт;В семье нет коммерческого траспорта;В семье отсутствует сельхотехника;В семье есть земельный участок под ИЖС;В семье нет коммерческой недвижимости;В семье нет личного подсобного хозяйства;В семье нет учредителей ТОО и ИП;"21472017";В семье есть два несовершеннолетних детей и учащейся молодежи до 23 лет;В семье нет лиц с инвалидностью (1 и 2 группы);В семье нет лиц с инвалидностью с детства или ребенка-инвалида;В семье нет лиц с инвалидностью (3 группы);В семье нет хронических заболеваний;В семье нет членов состоящие на Д-учете;В семье есть дети до 18 лет не прикрепленные к школе, садику;Семьи с прикрепленными членами семьи к медицинскому учреждению;Семьи, в которых у взрослых членов семьи нет среднего образования;В семье нет профессионального и среднеспециального образование;Семьи, в которых у взрослых членов семьи нет высшего образования;Семьи в которых есть участники ОСМС;Семья есть кредиты;Семья не имеет задолженности по кредитам;В семье нет детей от 2 до 6 лет включительно;В семье есть дети от 6 до 15 лет включительно прикрепленые к школе;В семьи нет образования;Административные центры областей;Не являются получателями АСП;Не являются плательщиками ЕСП;Семьи, в которых есть два и более плательщиков ОПВ;Семья живет в городе;В Семье нет социально значимых заболевании;Есть обращение;В семье нет детей от 8 до 14 лет включительно;4;"6310";"1"
г.Кызылорда;Кызылординская область;"43";Кызылорда Г.А.;"4310";В - удовлетворительный уровень семьи (ниже среднего);от 4 и более прожиточных минимумов (СДД);В семье только 1 член семьи работает;Семьи без жилья;В семье нет автотранспорта;В семье нет коммерческого траспорта;В семье отсутствует сельхотехника;Семьи без земельного участка;В семье нет коммерческой недвижимости;В семье нет личного подсобного хозяйства;В семье нет учредителей ТОО и ИП;"21472019";В семье нет  несовершеннолетних детей и учащейся молодежи до 23 лет;В семье нет лиц с инвалидностью (1 и 2 группы);В семье нет лиц с инвалидностью с детства или ребенка-инвалида;В семье нет лиц с инвалидностью (3 группы);В семье нет хронических заболеваний;В семье нет членов состоящие на Д-учете;В семье нет детей до 18 лет;Семьи с прикрепленными членами семьи к медицинскому учреждению;Семьи, в которых у взрослых членов семьи нет среднего образования;В семье нет профессионального и среднеспециального образование;Семьи, в которых у взрослых членов семьи нет высшего образования;Семьи в которых есть участники ОСМС;Семья есть кредиты;Семья не имеет задолженности по кредитам;В семье нет детей от 2 до 6 лет включительно;В семье нет детей от 6 до 15 лет включительно;В семьи нет образования;Административные центры областей;Не являются получателями АСП;Не являются плательщиками ЕСП;Семьи, в которых есть один плательщик ОПВ ;Семья живет в городе;В Семье нет социально значимых заболевании;Нет обращения;В семье нет детей от 8 до 14 лет включительно;1;"4310";"0"
Отенайский с.о.;область Жетісу;"33";Талдыкорган Г.А.;"3310";В - удовлетворительный уровень семьи (ниже среднего);от 2 до 3 прожиточных минимумов (СДД);В семье только 1 член семьи работает;В семье только одно жилье, более 18 кв. метров на 1 члена семьи;В семье 2 (два) автотранспорта;В семье нет коммерческого траспорта;В семье отсутствует сельхотехника;В семье есть земельный участок под ИЖС;В семье нет коммерческой недвижимости;В семье нет личного подсобного хозяйства;В семье есть ИП;"21472020";В семье есть от 4 - х и более несовершеннолетних детей и учащейся молодежи до 23 лет;В семье нет лиц с инвалидностью (1 и 2 группы);В семье нет лиц с инвалидностью с детства или ребенка-инвалида;В семье нет лиц с инвалидностью (3 группы);В семье есть члены с хроническими заболеваниями;В семье есть члены состоящие на Д-учете;В семье есть дети до 18 лет не прикрепленные к школе, садику;Семьи с прикрепленными членами семьи к медицинскому учреждению;Семьи, в которых у взрослых членов семьи нет среднего образования;В семье нет профессионального и среднеспециального образование;Семьи, в которых у взрослых членов семьи нет высшего образования;Семьи в которых есть участники ОСМС;Семья есть кредиты;Семья не имеет задолженности по кредитам;В семье есть дети от 2 до 6 лет включительно не прикрепленые к садику;В семье есть дети от 6 до 15 лет включительно прикрепленые к школе;В семьи нет образования;Города областного значения;Получатели АСП;Не являются плательщиками ЕСП;Семьи, в которых есть один плательщик ОПВ ;Семья живет в городе;В Семье есть социально значимые заболевания;Нет обращения;В семье есть дети от 8 до 14 лет включительно прикрепленые к школе;8;"3310";"0"
Наурызбайский район;г.Алматы;"75";г.Алматы;"7518";В - удовлетворительный уровень семьи (ниже среднего);от 4 и более прожиточных минимумов (СДД);В семье только 1 член семьи работает;Семьи без жилья;В семье 1 (один) автотранспорт;В семье нет коммерческого траспорта;В семье отсутствует сельхотехника;Семьи без земельного участка;В семье нет коммерческой недвижимости;В семье нет личного подсобного хозяйства;В семье нет учредителей ТОО и ИП;"21472021";В семье есть трое несовершеннолетних детей и учащейся молодежи до 23 лет;В семье нет лиц с инвалидностью (1 и 2 группы);В семье нет лиц с инвалидностью с детства или ребенка-инвалида;В семье нет лиц с инвалидностью (3 группы);В семье нет хронических заболеваний;В семье нет членов состоящие на Д-учете;В семье есть дети до 18 лет не прикрепленные к школе, садику;Семьи с прикрепленными членами семьи к медицинскому учреждению;Семьи, в которых у взрослых членов семьи нет среднего образования;В семье нет профессионального и среднеспециального образование;Семьи, в которых у взрослых членов семьи есть высшее образование;Семьи в которых есть участники ОСМС;Семья есть кредиты;Семья не имеет задолженности по кредитам;В семье есть дети от 2 до 6 лет включительно не прикрепленые к садику;В семье есть дети от 6 до 15 лет включительно прикрепленые к школе;В семье есть высшее образование;Города республиканского значения;Не являются получателями АСП;Не являются плательщиками ЕСП;Семьи, в которых есть один плательщик ОПВ ;Семья живет в городе;В Семье нет социально значимых заболевании;Нет обращения;В семье есть дети от 8 до 14 лет включительно прикрепленые к школе;5;"7518";"3"
Казыгуртский с.о.;Туркестанская область;"61";Казыгуртский район;"6140";В - удовлетворительный уровень семьи (ниже среднего);от 3 до 4 прожиточных минимумов (СДД);В семье двое и более членов семьи работают;Семьи без жилья;В семье нет автотранспорта;В семье нет коммерческого траспорта;В семье отсутствует сельхотехника;Семьи без земельного участка;В семье нет коммерческой недвижимости;В семье нет личного подсобного хозяйства;В семье нет учредителей ТОО и ИП;"21472023";В семье есть трое несовершеннолетних детей и учащейся молодежи до 23 лет;В семье нет лиц с инвалидностью (1 и 2 группы);В семье нет лиц с инвалидностью с детства или ребенка-инвалида;В семье нет лиц с инвалидностью (3 группы);В семье нет хронических заболеваний;В семье нет членов состоящие на Д-учете;В семье есть дети до 18 лет прикрепленные к школе садику;Семьи с прикрепленными членами семьи к медицинскому учреждению;Семьи, в которых у взрослых членов семьи есть среднее образование;В семье есть профессиональное и среднеспециальное образование;Семьи, в которых у взрослых членов семьи нет высшего образования;Семьи в которых есть участники ОСМС;Семья есть кредиты;Семья не имеет задолженности по кредитам;В семье нет детей от 2 до 6 лет включительно;В семье нет детей от 6 до 15 лет включительно;В семье есть профессиональное или среднеспециальное образование;Административные центры сельских округов;Не являются получателями АСП;Не являются плательщиками ЕСП;Семьи, в которых есть два и более плательщиков ОПВ;Семья живет в городе;В Семье нет социально значимых заболевании;Нет обращения;В семье есть дети от 8 до 14 лет включительно прикрепленые к школе;6;"6140";"8"
Турксибский район;г.Алматы;"75";г.Алматы;"7519";В - удовлетворительный уровень семьи (ниже среднего);от 4 и более прожиточных минимумов (СДД);В семье только 1 член семьи работает;Семьи без жилья;В семье 1 (один) автотранспорт;В семье нет коммерческого траспорта;В семье отсутствует сельхотехника;Семьи без земельного участка;В семье нет коммерческой недвижимости;В семье нет личного подсобного хозяйства;В семье есть ИП;"21472024";В семье есть от 4 - х и более несовершеннолетних детей и учащейся молодежи до 23 лет;В семье нет лиц с инвалидностью (1 и 2 группы);В семье нет лиц с инвалидностью с детства или ребенка-инвалида;В семье нет лиц с инвалидностью (3 группы);В семье нет хронических заболеваний;В семье есть члены состоящие на Д-учете;В семье есть дети до 18 лет не прикрепленные к школе, садику;Семьи с прикрепленными членами семьи к медицинскому учреждению;Семьи, в которых у взрослых членов семьи нет среднего образования;В семье нет профессионального и среднеспециального образование;Семьи, в которых у взрослых членов семьи нет высшего образования;Семьи в которых есть участники ОСМС;Семья есть кредиты;Один член семьи имеет просроченную задолженность по кредитам;В семье есть дети от 2 до 6 лет включительно прикрепленые к садику;В семье есть дети от 6 до 15 лет включительно прикрепленые к школе;В семьи нет образования;Города республиканского значения;Не являются получателями АСП;Не являются плательщиками ЕСП;Семьи, в которых есть один плательщик ОПВ ;Семья живет в городе;В Семье нет социально значимых заболевании;Нет обращения;В семье есть дети от 8 до 14 лет включительно прикрепленые к школе;7;"7519";"9"
г.Степногорск;Акмолинская область;"11";Степногорск Г.А.;"1118";D - Кризисный уровень семьи (требуется помощь);от 1 до 2 прожиточных минимумов (СДД);Семьи без работающих членов семьи;Семьи без жилья;В семье нет автотранспорта;В семье нет коммерческого траспорта;В семье отсутствует сельхотехника;Семьи без земельного участка;В семье нет коммерческой недвижимости;В семье нет личного подсобного хозяйства;В семье нет учредителей ТОО и ИП;"21472031";В семье нет  несовершеннолетних детей и учащейся молодежи до 23 лет;В семье нет лиц с инвалидностью (1 и 2 группы);В семье нет лиц с инвалидностью с детства или ребенка-инвалида;В семье нет лиц с инвалидностью (3 группы);В семье нет хронических заболеваний;В семье нет членов состоящие на Д-учете;В семье нет детей до 18 лет;Семьи с прикрепленными членами семьи к медицинскому учреждению;Семьи, в которых у взрослых членов семьи нет среднего образования;В семье нет профессионального и среднеспециального образование;Семьи, в которых у взрослых членов семьи нет высшего образования;Семьи в которых есть участники ОСМС;Семья без кредитов;Семья не имеет задолженности по кредитам;В семье нет детей от 2 до 6 лет включительно;В семье нет детей от 6 до 15 лет включительно;В семьи нет образования;Города областного значения;Не являются получателями АСП;Не являются плательщиками ЕСП;Семьи, в которых нет плательщиков ОПВ;Семья живет в городе;В Семье нет социально значимых заболевании;Нет обращения;В семье нет детей от 8 до 14 лет включительно;1;"1118";"9"
Качарская п.а.;Костанайская область;"39";Рудный Г.А.;"3924";В - удовлетворительный уровень семьи (ниже среднего);от 4 и более прожиточных минимумов (СДД);В семье двое и более членов семьи работают;В семье есть 2 единицы жилья;В семье 1 (один) автотранспорт;В семье нет коммерческого траспорта;В семье отсутствует сельхотехника;В семье есть земельный участок под ИЖС;В семье нет коммерческой недвижимости;В семье нет личного подсобного хозяйства;В семье нет учредителей ТОО и ИП;"21472032";В семье нет  несовершеннолетних детей и учащейся молодежи до 23 лет;В семье нет лиц с инвалидностью (1 и 2 группы);В семье нет лиц с инвалидностью с детства или ребенка-инвалида;В семье нет лиц с инвалидностью (3 группы);В семье нет хронических заболеваний;В семье есть члены состоящие на Д-учете;В семье нет детей до 18 лет;Семьи с прикрепленными членами семьи к медицинскому учреждению;Семьи, в которых у взрослых членов семьи нет среднего образования;В семье нет профессионального и среднеспециального образование;Семьи, в которых у взрослых членов семьи нет высшего образования;Семьи в которых есть участники ОСМС;Семья есть кредиты;Семья не имеет задолженности по кредитам;В семье нет детей от 2 до 6 лет включительно;В семье нет детей от 6 до 15 лет включительно;В семьи нет образования;Города областного значения;Не являются получателями АСП;Не являются плательщиками ЕСП;Семьи, в которых есть два и более плательщиков ОПВ;Семья живет в городе;В Семье нет социально значимых заболевании;Нет обращения;В семье нет детей от 8 до 14 лет включительно;2;"3924";"3"
Есикская г.а.;Алматинская область;"19";Енбекшиказахский район;"1940";В - удовлетворительный уровень семьи (ниже среднего);от 4 и более прожиточных минимумов (СДД);В семье двое и более членов семьи работают;В семье только одно жилье, более 18 кв. метров на 1 члена семьи;В семье 3 (три) и более автотранспорта;В семье нет коммерческого траспорта;В семье отсутствует сельхотехника;Семьи без земельного участка;В семье нет коммерческой недвижимости;В семье есть личное подсобное хозяйство с доходом до 500 тыс. тенге;В семье нет учредителей ТОО и ИП;"21472037";В семье есть один несовершеннолетний ребенок или учащейся молодеж до 23 лет;В семье есть лица с инвалидностью (1 или 2 группы);В семье нет лиц с инвалидностью с детства или ребенка-инвалида;В семье нет лиц с инвалидностью (3 группы);В семье есть члены с хроническими заболеваниями;В семье есть члены состоящие на Д-учете;В семье нет детей до 18 лет;Семьи с прикрепленными членами семьи к медицинскому учреждению;Семьи, в которых у взрослых членов семьи есть среднее образование;В семье нет профессионального и среднеспециального образование;Семьи, в которых у взрослых членов семьи есть высшее образование;Семьи в которых есть участники ОСМС;Семья без кредитов;Семья не имеет задолженности по кредитам;В семье нет детей от 2 до 6 лет включительно;В семье нет детей от 6 до 15 лет включительно;В семье есть высшее образование;Прочие городские поселения;Не являются получателями АСП;Не являются плательщиками ЕСП;Семьи, в которых есть два и более плательщиков ОПВ;Семья живет в городе;В Семье нет социально значимых заболевании;Нет обращения;В семье нет детей от 8 до 14 лет включительно;4;"1940";"3"
г.Петропавловск;Северо-Казахстанская область;"59";Петропавловск Г.А.;"5910";D - Кризисный уровень семьи (требуется помощь);от черты бедности до 1 прожиточного минимума (СДД);Семьи с трудоспособными и не работающими членами семьи;В семье есть от 3 до 5 единиц жилья;В семье нет автотранспорта;В семье нет коммерческого траспорта;В семье отсутствует сельхотехника;Семьи без земельного участка;В семье нет коммерческой недвижимости;В семье нет личного подсобного хозяйства;В семье есть учредители ТОО;"21472042";В семье нет  несовершеннолетних детей и учащейся молодежи до 23 лет;В семье есть лица с инвалидностью (1 или 2 группы);В семье нет лиц с инвалидностью с детства или ребенка-инвалида;В семье нет лиц с инвалидностью (3 группы);В семье есть члены с хроническими заболеваниями;В семье есть члены состоящие на Д-учете;В семье нет детей до 18 лет;Семьи с прикрепленными членами семьи к медицинскому учреждению;Семьи, в которых у взрослых членов семьи есть среднее образование;В семье есть профессиональное и среднеспециальное образование;Семьи, в которых у взрослых членов семьи нет высшего образования;Семьи в которых есть участники ОСМС;Семья есть кредиты;Два или более членов семьи имеют просроченную задолженность по кредитам;В семье нет детей от 2 до 6 лет включительно;В семье нет детей от 6 до 15 лет включительно;В семье есть профессиональное или среднеспециальное образование;Административные центры областей;Не являются получателями АСП;Не являются плательщиками ЕСП;Семьи, в которых нет плательщиков ОПВ;Семья живет в городе;В Семье есть социально значимые заболевания;Нет обращения;В семье нет детей от 8 до 14 лет включительно;3;"5910";"8"
г.Экибастуз;Павлодарская область;"55";Экибастуз Г.А.;"5522";D - Кризисный уровень семьи (требуется помощь);Семья без доходов (СДД);Семьи без работающих членов семьи;Семьи без жилья;В семье нет автотранспорта;В семье нет коммерческого траспорта;В семье отсутствует сельхотехника;Семьи без земельного участка;В семье нет коммерческой недвижимости;В семье нет личного подсобного хозяйства;В семье нет учредителей ТОО и ИП;"21472048";В семье нет  несовершеннолетних детей и учащейся молодежи до 23 лет;В семье нет лиц с инвалидностью (1 и 2 группы);В семье нет лиц с инвалидностью с детства или ребенка-инвалида;В семье нет лиц с инвалидностью (3 группы);В семье нет хронических заболеваний;В семье нет членов состоящие на Д-учете;В семье нет детей до 18 лет;Семьи с не прикрепленными членами семьи к медицинскому учреждению;Семьи, в которых у взрослых членов семьи нет среднего образования;В семье нет профессионального и среднеспециального образование;Семьи, в которых у взрослых членов семьи нет высшего образования;Семьи в которых нет участников ОСМС;Семья без кредитов;Семья не имеет задолженности по кредитам;В семье нет детей от 2 до 6 лет включительно;В семье нет детей от 6 до 15 лет включительно;В семьи нет образования;Города областного значения;Не являются получателями АСП;Не являются плательщиками ЕСП;Семьи, в которых нет плательщиков ОПВ;Семья живет в городе;В Семье нет социально значимых заболевании;Нет обращения;В семье нет детей от 8 до 14 лет включительно;1;"5522";"10"
Заречный с.о.;Костанайская область;"39";Костанайский район;"3954";С - Неблагополучный уровень семьи (необходим мониторинг) ;от 2 до 3 прожиточных минимумов (СДД);В семье только 1 член семьи работает;Семьи без жилья;В семье нет автотранспорта;В семье нет коммерческого траспорта;В семье отсутствует сельхотехника;Семьи без земельного участка;В семье нет коммерческой недвижимости;В семье нет личного подсобного хозяйства;В семье есть ИП;"21472049";В семье есть два несовершеннолетних детей и учащейся молодежи до 23 лет;В семье нет лиц с инвалидностью (1 и 2 группы);В семье нет лиц с инвалидностью с детства или ребенка-инвалида;В семье нет лиц с инвалидностью (3 группы);В семье нет хронических заболеваний;В семье есть члены состоящие на Д-учете;В семье нет детей до 18 лет;Семьи с прикрепленными членами семьи к медицинскому учреждению;Семьи, в которых у взрослых членов семьи есть среднее образование;В семье есть профессиональное и среднеспециальное образование;Семьи, в которых у взрослых членов семьи нет высшего образования;Семьи в которых есть участники ОСМС;Семья есть кредиты;Семья не имеет задолженности по кредитам;В семье нет детей от 2 до 6 лет включительно;В семье нет детей от 6 до 15 лет включительно;В семье есть профессиональное или среднеспециальное образование;Прочие городские поселения;Не являются получателями АСП;Не являются плательщиками ЕСП;Семьи, в которых есть один плательщик ОПВ ;Семья живет в городе;В Семье нет социально значимых заболевании;Нет обращения;В семье нет детей от 8 до 14 лет включительно;2;"3954";"8"
Турксибский район;г.Алматы;"75";г.Алматы;"7519";С - Неблагополучный уровень семьи (необходим мониторинг) ;от 3 до 4 прожиточных минимумов (СДД);В семье только 1 член семьи работает;Семьи без жилья;В семье нет автотранспорта;В семье нет коммерческого траспорта;В семье отсутствует сельхотехника;Семьи без земельного участка;В семье нет коммерческой недвижимости;В семье нет личного подсобного хозяйства;В семье нет учредителей ТОО и ИП;"21472055";В семье нет  несовершеннолетних детей и учащейся молодежи до 23 лет;В семье нет лиц с инвалидностью (1 и 2 группы);В семье нет лиц с инвалидностью с детства или ребенка-инвалида;В семье нет лиц с инвалидностью (3 группы);В семье нет хронических заболеваний;В семье нет членов состоящие на Д-учете;В семье нет детей до 18 лет;Семьи с прикрепленными членами семьи к медицинскому учреждению;Семьи, в которых у взрослых членов семьи нет среднего образования;В семье нет профессионального и среднеспециального образование;Семьи, в которых у взрослых членов семьи нет высшего образования;Семьи в которых нет участников ОСМС;Семья без кредитов;Семья не имеет задолженности по кредитам;В семье нет детей от 2 до 6 лет включительно;В семье нет детей от 6 до 15 лет включительно;В семьи нет образования;Города республиканского значения;Не являются получателями АСП;Не являются плательщиками ЕСП;Семьи, в которых есть один плательщик ОПВ ;Семья живет в городе;В Семье нет социально значимых заболевании;Нет обращения;В семье нет детей от 8 до 14 лет включительно;1;"7519";"7"
